title,price,sold,location,link,category_link
Baso aci isi 12pcs / baso Aci isi 12pcs murah / baso Aci paket 12 pcs murah / baso aci viral / baso aci paket usaha / paket baso aci 12 bungkus / paket baso Aci 12 bungkus murah,30.200,"3,6RB Terjual",KAB. BANDUNG,https://shopee.co.id/Baso-aci-isi-12pcs-baso-Aci-isi-12pcs-murah-baso-Aci-paket-12-pcs-murah-baso-aci-viral-baso-aci-paket-usaha-paket-baso-aci-12-bungkus-paket-baso-Aci-12-bungkus-murah-i.1155586269.24157687977?sp_atk=486afb74-3289-4eaa-82bf-199bb1f9ed36&xptdk=486afb74-3289-4eaa-82bf-199bb1f9ed36,https://shopee.co.id/Makanan-Minuman-cat.11043451
NORI RUMPUT LAUT  KEMASAN BOX 500ML PRODUK UMKM,10.900,10RB+ Terjual,KAB. TANGERANG,https://shopee.co.id/NORI-RUMPUT-LAUT-KEMASAN-BOX-500ML-PRODUK-UMKM-i.275668219.23832022772?sp_atk=db64b90f-6825-40a6-bc85-bf9e9059dca6&xptdk=db64b90f-6825-40a6-bc85-bf9e9059dca6,https://shopee.co.id/Makanan-Minuman-cat.11043451
Kue Keranjang Imlek Cina / Dodol Cina / Nian Gao / Thiam Pan / Ny. Tjong Ukuran 250 Gram,39.899,"6,1RB Terjual",KOTA JAKARTA UTARA,https://shopee.co.id/Kue-Keranjang-Imlek-Cina-Dodol-Cina-Nian-Gao-Thiam-Pan-Ny.-Tjong-Ukuran-250-Gram-i.127449165.5175471449?sp_atk=7d99f375-2ab9-4d76-8bd3-d0449178c1e9&xptdk=7d99f375-2ab9-4d76-8bd3-d0449178c1e9,https://shopee.co.id/Makanan-Minuman-cat.11043451
"Jagung Popcorn PREMIUM MURAH Repack 1 KG, 500gr, 250gr",19.200,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/Jagung-Popcorn-PREMIUM-MURAH-Repack-1-KG-500gr-250gr-i.146946052.12077407311?sp_atk=ecdf284b-c9f0-49e5-a88a-23e6711f5d79&xptdk=ecdf284b-c9f0-49e5-a88a-23e6711f5d79,https://shopee.co.id/Makanan-Minuman-cat.11043451
BASO ACI HOMEMADE boci isi12 bakso aci termurah ayam suir bapper bocirat beranak kriwil bocimak nyos sajodo snack umang,5.280,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/BASO-ACI-HOMEMADE-boci-isi12-bakso-aci-termurah-ayam-suir-bapper-bocirat-beranak-kriwil-bocimak-nyos-sajodo-snack-umang-i.703165577.21901183070?sp_atk=cecaf637-57e3-40f4-b487-a669a39fea2b&xptdk=cecaf637-57e3-40f4-b487-a669a39fea2b,https://shopee.co.id/Makanan-Minuman-cat.11043451
BOX BASRENG RENDANG 250 GRAM,35.789,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/BOX-BASRENG-RENDANG-250-GRAM-i.70550410.23182831258?sp_atk=636f20bc-f878-44ce-8dd1-4d334d15c390&xptdk=636f20bc-f878-44ce-8dd1-4d334d15c390,https://shopee.co.id/Makanan-Minuman-cat.11043451
500gr KERIPIK USUS AYAM CRISPY,30.450,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/500gr-KERIPIK-USUS-AYAM-CRISPY-i.5751013.21920480013?sp_atk=d1f48f64-9fe5-467c-b275-f660a6613686&xptdk=d1f48f64-9fe5-467c-b275-f660a6613686,https://shopee.co.id/Makanan-Minuman-cat.11043451
Nutrijell Pudding Susu - ALL VARIANT,8.500,10RB+ Terjual,KOTA JAKARTA TIMUR,https://shopee.co.id/Nutrijell-Pudding-Susu-ALL-VARIANT-i.315384165.22861388346?sp_atk=d8df7b23-e7d4-4d78-aa86-66cf105d4875&xptdk=d8df7b23-e7d4-4d78-aa86-66cf105d4875,https://shopee.co.id/Makanan-Minuman-cat.11043451
Royco Bumbu Kadu Penyedap Rasa Ayam Beryodium 220g (Isi 24),179.400,10RB+ Terjual,KOTA SEMARANG,https://shopee.co.id/Royco-Bumbu-Kadu-Penyedap-Rasa-Ayam-Beryodium-220g-(Isi-24)-i.14318452.19688071894?sp_atk=a525b559-bb34-4d1d-9e2b-af001b68a2ae&xptdk=a525b559-bb34-4d1d-9e2b-af001b68a2ae,https://shopee.co.id/Makanan-Minuman-cat.11043451
promo basreng 100gr bumbu melimpah,4.550,"8,1RB Terjual",KOTA MEDAN,https://shopee.co.id/promo-basreng-100gr-bumbu-melimpah-i.835963868.21279214127?sp_atk=136d5f04-ac9c-40d7-9208-ecaf9c713be2&xptdk=136d5f04-ac9c-40d7-9208-ecaf9c713be2,https://shopee.co.id/Makanan-Minuman-cat.11043451
[SACHET] SAMBEL CUMI MANJA SAMBAL FRESH SOTONG ASIN SUWIR CAKALANG AYAM TUNA TONGKOL PECEL KACANG TERI SUWIR EATSAMBEL EAT SACHET CIAMIK EATSAMBAL SAMYANG GOCHUJANG HALAL MAKAN MAKANAN PEDAS KULINER FOOD CEMILAN DIET IDE JUALAN SIMPLE MUKBANG JAJAN  MENU,2.900,10RB+ Terjual,KAB. PONOROGO,https://shopee.co.id/-SACHET-SAMBEL-CUMI-MANJA-SAMBAL-FRESH-SOTONG-ASIN-SUWIR-CAKALANG-AYAM-TUNA-TONGKOL-PECEL-KACANG-TERI-SUWIR-EATSAMBEL-EAT-SACHET-CIAMIK-EATSAMBAL-SAMYANG-GOCHUJANG-HALAL-MAKAN-MAKANAN-PEDAS-KULINER-FOOD-CEMILAN-DIET-IDE-JUALAN-SIMPLE-MUKBANG-JAJAN-MENU-i.54296331.17480043752?sp_atk=cdb7fa30-cde9-4e1b-a2da-3ebdd3c191a0&xptdk=cdb7fa30-cde9-4e1b-a2da-3ebdd3c191a0,https://shopee.co.id/Makanan-Minuman-cat.11043451
500GR BASRENG PEDAS DAUN JERUK,20.500,"7,1RB Terjual",KAB. KEDIRI,https://shopee.co.id/500GR-BASRENG-PEDAS-DAUN-JERUK-i.509582368.19484891181?sp_atk=ee7c8c1c-44f4-4a77-a6cd-129ea688e9d1&xptdk=ee7c8c1c-44f4-4a77-a6cd-129ea688e9d1,https://shopee.co.id/Makanan-Minuman-cat.11043451
KURMA AL QASEEM 720 GRAM EMBER,17.500,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/KURMA-AL-QASEEM-720-GRAM-EMBER-i.10466663.23619589877?sp_atk=e1a621ae-fda3-419c-b116-401ff6022bb1&xptdk=e1a621ae-fda3-419c-b116-401ff6022bb1,https://shopee.co.id/Makanan-Minuman-cat.11043451
Nabati Ahh 30gr (10pcs @3gr) Tersedia  2 & Varian Nextar Cookies Korean Goguma 90gr (8 pcs@11.25gr),16.200,4RB Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Nabati-Ahh-30gr-(10pcs-3gr)-Tersedia-2-Varian-Nextar-Cookies-Korean-Goguma-90gr-(8-pcs-11.25gr)-i.53314700.24111121863?sp_atk=5f0b68e1-1577-4762-9d1f-1266b66d9bec&xptdk=5f0b68e1-1577-4762-9d1f-1266b66d9bec,https://shopee.co.id/Makanan-Minuman-cat.11043451
MINYAK SUNCO 2 LITER ISI 4 POUCH KHUSUS LIVE YANJOGANI,133.999,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/MINYAK-SUNCO-2-LITER-ISI-4-POUCH-KHUSUS-LIVE-YANJOGANI-i.1108921048.16599524515?sp_atk=1a94e1d4-4fe1-48f0-98b6-1c6131b587f0&xptdk=1a94e1d4-4fe1-48f0-98b6-1c6131b587f0,https://shopee.co.id/Makanan-Minuman-cat.11043451
MINYAK SUNCO 2 LITER ISI 4 POUCH,134.900,"4,5RB Terjual",KOTA CIMAHI,https://shopee.co.id/MINYAK-SUNCO-2-LITER-ISI-4-POUCH-i.1030482427.24705152485?sp_atk=a4008f52-ba53-4e28-b5cc-53defcfb8f57&xptdk=a4008f52-ba53-4e28-b5cc-53defcfb8f57,https://shopee.co.id/Makanan-Minuman-cat.11043451
KERIPIK BUAH NANGKA APEL NANAS PISANG SALAK OVEN SUPER ENAK,17.500,10RB+ Terjual,KAB. BATANG,https://shopee.co.id/KERIPIK-BUAH-NANGKA-APEL-NANAS-PISANG-SALAK-OVEN-SUPER-ENAK-i.70834502.20584088652?sp_atk=8ea2110a-c211-46c8-a06d-cd2a8ae2317e&xptdk=8ea2110a-c211-46c8-a06d-cd2a8ae2317e,https://shopee.co.id/Makanan-Minuman-cat.11043451
Latiao Family Snack - [HALAL]  Buy 3 Get 10 Free | Wulama Latiao Bundle | Wulama Gluten | Cemilan Snack A Food Vegetarian Latiao,29.999,"5,3RB Terjual",KAB. TANGERANG,https://shopee.co.id/Latiao-Family-Snack-HALAL-Buy-3-Get-10-Free-Wulama-Latiao-Bundle-Wulama-Gluten-Cemilan-Snack-A-Food-Vegetarian-Latiao-i.1081118682.20493519374?sp_atk=d7e4f45e-b234-4b48-a746-719f307f093f&xptdk=d7e4f45e-b234-4b48-a746-719f307f093f,https://shopee.co.id/Makanan-Minuman-cat.11043451
(PROMO) Manjun Nori HALAL Seaweed Rumput Laut Sushi Gimbap Korean Yaki Sushi Nori,10.990,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/(PROMO)-Manjun-Nori-HALAL-Seaweed-Rumput-Laut-Sushi-Gimbap-Korean-Yaki-Sushi-Nori-i.153969382.5549623229?sp_atk=a0e677f5-16f5-4dda-8795-0210dd802d5d&xptdk=a0e677f5-16f5-4dda-8795-0210dd802d5d,https://shopee.co.id/Makanan-Minuman-cat.11043451
Baricho Oat sereal Pusan isi 20 pcs,8.000,10RB+ Terjual,KOTA MALANG,https://shopee.co.id/Baricho-Oat-sereal-Pusan-isi-20-pcs-i.930619088.21794829209?sp_atk=8c54c76d-8c66-467f-94f2-f0c31a8cdef3&xptdk=8c54c76d-8c66-467f-94f2-f0c31a8cdef3,https://shopee.co.id/Makanan-Minuman-cat.11043451
[JATIM] Minyak Goreng Sunco 2L x 4 Pouch,142.700,"2,9RB Terjual",KAB. BANYUWANGI,https://shopee.co.id/-JATIM-Minyak-Goreng-Sunco-2L-x-4-Pouch-i.1172185206.24560663365?sp_atk=d727ca81-776b-44ca-9465-7c2f33d875f8&xptdk=d727ca81-776b-44ca-9465-7c2f33d875f8,https://shopee.co.id/Makanan-Minuman-cat.11043451
Baso Aci Paket 12 Pcs Murah / baso aci isi 12pcs / Baso aci isi 12 pcs murah / baso aci viral / baso aci paket usaha / Paket baso aci 12 bungkus murah / paket baso aci 12 bungkus,30.050,"9,1RB Terjual",KAB. BANDUNG,https://shopee.co.id/Baso-Aci-Paket-12-Pcs-Murah-baso-aci-isi-12pcs-Baso-aci-isi-12-pcs-murah-baso-aci-viral-baso-aci-paket-usaha-Paket-baso-aci-12-bungkus-murah-paket-baso-aci-12-bungkus-i.36605651.22157938037?sp_atk=7018271e-d0e8-4a7c-bf08-2c7302000c63&xptdk=7018271e-d0e8-4a7c-bf08-2c7302000c63,https://shopee.co.id/Makanan-Minuman-cat.11043451
MINYAK SUNCO 2 LITER  MINYAK PREMIUM,133.999,"7,3RB Terjual",KOTA JAKARTA UTARA,https://shopee.co.id/MINYAK-SUNCO-2-LITER-MINYAK-PREMIUM-i.1108921048.23661526700?sp_atk=9ebf456f-3a86-4ca5-a054-5abc2e2fdf1e&xptdk=9ebf456f-3a86-4ca5-a054-5abc2e2fdf1e,https://shopee.co.id/Makanan-Minuman-cat.11043451
Basreng mentah rajangemil,12.000,10RB+ Terjual,KAB. BANDUNG,https://shopee.co.id/Basreng-mentah-rajangemil-i.230480826.25701597009?sp_atk=f922ffcc-7a29-4276-b79f-c6e1cdef74b6&xptdk=f922ffcc-7a29-4276-b79f-c6e1cdef74b6,https://shopee.co.id/Makanan-Minuman-cat.11043451
Collins Choco Crunchy 350gr Mini KEMASAN PABRIK,17.999,"5,1RB Terjual",KOTA BEKASI,https://shopee.co.id/Collins-Choco-Crunchy-350gr-Mini-KEMASAN-PABRIK-i.146946052.25206172242?sp_atk=77b897fc-5c23-44d2-a39c-7dcb463a5c8f&xptdk=77b897fc-5c23-44d2-a39c-7dcb463a5c8f,https://shopee.co.id/Makanan-Minuman-cat.11043451
EXP 2025 KURMA AL QASEEM EMBER STOK BARU SUKARI AL QASSIM,15.500,10RB+ Terjual,KAB. BOJONEGORO,https://shopee.co.id/EXP-2025-KURMA-AL-QASEEM-EMBER-STOK-BARU-SUKARI-AL-QASSIM-i.11261364.16122835990?sp_atk=8f0bb621-c52b-4641-a7c0-0bc81df1a5ea&xptdk=8f0bb621-c52b-4641-a7c0-0bc81df1a5ea,https://shopee.co.id/Makanan-Minuman-cat.11043451
[Halal] Wulama Latiao Spicy/Latiao halal/tendon,6.900,"6,7RB Terjual",KOTA JAKARTA UTARA,https://shopee.co.id/-Halal-Wulama-Latiao-Spicy-Latiao-halal-tendon-i.1019605989.24556961003?sp_atk=c5012a09-6dd5-4318-a8be-60df159be536&xptdk=c5012a09-6dd5-4318-a8be-60df159be536,https://shopee.co.id/Makanan-Minuman-cat.11043451
kopi good day mocacinno 3in1 ( 10 sachet per renceng ),12.450,10RB+ Terjual,KAB. BEKASI,https://shopee.co.id/kopi-good-day-mocacinno-3in1-(-10-sachet-per-renceng-)-i.51975820.21856112312?sp_atk=265a2d9f-b936-4e99-8578-eaa3c6d1fd4e&xptdk=265a2d9f-b936-4e99-8578-eaa3c6d1fd4e,https://shopee.co.id/Makanan-Minuman-cat.11043451
CEMILAN SEHAT TRAIL MIX 250GRAM,32.000,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/CEMILAN-SEHAT-TRAIL-MIX-250GRAM-i.254338540.23583748823?sp_atk=29b75827-7464-46db-8c6e-de4933330c3e&xptdk=29b75827-7464-46db-8c6e-de4933330c3e,https://shopee.co.id/Makanan-Minuman-cat.11043451
(JATIM) PAKET HEMAT MINYAK SUNCO 2L x 4 POUCH,142.700,"2,2RB Terjual",KAB. BANYUWANGI,https://shopee.co.id/(JATIM)-PAKET-HEMAT-MINYAK-SUNCO-2L-x-4-POUCH-i.1172185206.25810662513?sp_atk=0e2f87c9-a482-447a-9b74-646a43f80bfa&xptdk=0e2f87c9-a482-447a-9b74-646a43f80bfa,https://shopee.co.id/Makanan-Minuman-cat.11043451
Chunky Bar SilverQueen  cokelat 95 Gram Varian Mede / Almond,17.790,10RB+ Terjual,KOTA BEKASI,https://shopee.co.id/Chunky-Bar-SilverQueen-cokelat-95-Gram-Varian-Mede-Almond-i.42962769.892861832?sp_atk=306b89e7-e4b2-4a1b-84ec-737bab518144&xptdk=306b89e7-e4b2-4a1b-84ec-737bab518144,https://shopee.co.id/Makanan-Minuman-cat.11043451
1kg basreng stik sultan pedas daun jeruk,35.999,10RB+ Terjual,KAB. GRESIK,https://shopee.co.id/1kg-basreng-stik-sultan-pedas-daun-jeruk-i.33759271.16278240004?sp_atk=924ccfe9-4334-47ad-8e66-ae98d8db9551&xptdk=924ccfe9-4334-47ad-8e66-ae98d8db9551,https://shopee.co.id/Makanan-Minuman-cat.11043451
NEW!!!! CIreng Salju Dapur Amos,14.878,10RB+ Terjual,KAB. TANGERANG,https://shopee.co.id/NEW!!!!-CIreng-Salju-Dapur-Amos-i.1048824459.15398389413?sp_atk=421b019a-6170-405e-bd8b-f237e1d63255&xptdk=421b019a-6170-405e-bd8b-f237e1d63255,https://shopee.co.id/Makanan-Minuman-cat.11043451
Permen Cube Viral - Candy Cube Milo Willo Getberry isi 60 pcs,16.380,"5,1RB Terjual",KOTA CIMAHI,https://shopee.co.id/Permen-Cube-Viral-Candy-Cube-Milo-Willo-Getberry-isi-60-pcs-i.8512983.23859378106?sp_atk=95255d77-7caf-4c67-877e-b518395a5f22&xptdk=95255d77-7caf-4c67-877e-b518395a5f22,https://shopee.co.id/Makanan-Minuman-cat.11043451
Collins Pasta ( 350gr ) Dengan Malt Krispi Choco Crunchy Exp Exp Jan 2025 PROMO HALAL,17.000,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Collins-Pasta-(-350gr-)-Dengan-Malt-Krispi-Choco-Crunchy-Exp-Exp-Jan-2025-PROMO-HALAL-i.2379138.23884135901?sp_atk=6199eeec-8676-45fa-afc9-9e574c91f382&xptdk=6199eeec-8676-45fa-afc9-9e574c91f382,https://shopee.co.id/Makanan-Minuman-cat.11043451
Momogi Stick Snack Extrudat - Isi 20 bks,9.250,10RB+ Terjual,KOTA BANDUNG,https://shopee.co.id/Momogi-Stick-Snack-Extrudat-Isi-20-bks-i.1521932.1881662956?sp_atk=7b93971f-db01-487f-97a5-cf618aa28375&xptdk=7b93971f-db01-487f-97a5-cf618aa28375,https://shopee.co.id/Makanan-Minuman-cat.11043451
Hampers Snack Box Cokelat Kado Ulang Tahun Valentine Hadiah Pacar Gift Box Buket Murah Hadiah Wisuda Sempro Anniversary Hari Guru Cewek Cowok,52.500,"1,8RB Terjual",KAB. TULUNGAGUNG,https://shopee.co.id/Hampers-Snack-Box-Cokelat-Kado-Ulang-Tahun-Valentine-Hadiah-Pacar-Gift-Box-Buket-Murah-Hadiah-Wisuda-Sempro-Anniversary-Hari-Guru-Cewek-Cowok-i.123570246.25708167174?sp_atk=9c1b57eb-0c22-4714-8fbe-3a36c41d92ac&xptdk=9c1b57eb-0c22-4714-8fbe-3a36c41d92ac,https://shopee.co.id/Makanan-Minuman-cat.11043451
[DARLING] Hampers Cewe Anniversary Ulang Tahun Wisuda Valentine | Kado Wanita Pink Edition Coklat Boneka,72.900,620 Terjual,KOTA SEMARANG,https://shopee.co.id/-DARLING-Hampers-Cewe-Anniversary-Ulang-Tahun-Wisuda-Valentine-Kado-Wanita-Pink-Edition-Coklat-Boneka-i.26019093.24611082946?sp_atk=84ce3b93-15a2-4130-be23-11c2629c1c5a&xptdk=84ce3b93-15a2-4130-be23-11c2629c1c5a,https://shopee.co.id/Makanan-Minuman-cat.11043451
Sapu Lidi 30 cm Mie Lidi Si Umang 130gr 65gr (Agen Surabaya),13.416,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/Sapu-Lidi-30-cm-Mie-Lidi-Si-Umang-130gr-65gr-(Agen-Surabaya)-i.712457661.14261907127?sp_atk=bcf90fbc-c8c3-4ffa-b6bf-5b835de54fa8&xptdk=bcf90fbc-c8c3-4ffa-b6bf-5b835de54fa8,https://shopee.co.id/Makanan-Minuman-cat.11043451
LEMONILO Brownies Crispy - Chocochips Keju - Cemilan Diet Sehat - Lemonilo Bronis Coklat - Lemonilo Brownie Cheese,11.990,10RB+ Terjual,KOTA SURABAYA,https://shopee.co.id/LEMONILO-Brownies-Crispy-Chocochips-Keju-Cemilan-Diet-Sehat-Lemonilo-Bronis-Coklat-Lemonilo-Brownie-Cheese-i.409558154.17113267122?sp_atk=57a1d909-fa87-4f28-85a6-8d93763d7cef&xptdk=57a1d909-fa87-4f28-85a6-8d93763d7cef,https://shopee.co.id/Makanan-Minuman-cat.11043451
BASRENG MENTAH + CHILI OIL DAN BASRENG BOJOT + CHILI OIL VACUM,12.999,"5,5RB Terjual",KOTA SURABAYA,https://shopee.co.id/BASRENG-MENTAH-CHILI-OIL-DAN-BASRENG-BOJOT-CHILI-OIL-VACUM-i.91703997.25754394415?sp_atk=4dbeeef7-c841-4bf7-97bb-3ba514ef0928&xptdk=4dbeeef7-c841-4bf7-97bb-3ba514ef0928,https://shopee.co.id/Makanan-Minuman-cat.11043451
Choco Chips / Choco Crunch / Coco Simba Bulky Richeese Nabati 950Gram Murah Kualitas,36.999,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/Choco-Chips-Choco-Crunch-Coco-Simba-Bulky-Richeese-Nabati-950Gram-Murah-Kualitas-i.14831233.13038189894?sp_atk=069e8302-8a78-478a-8e08-cc1a3cd640dd&xptdk=069e8302-8a78-478a-8e08-cc1a3cd640dd,https://shopee.co.id/Makanan-Minuman-cat.11043451
[DELISH SNACKS] Aneka Snack Serba 10.000 Bebas Pilih / Cemilan Camilan Makanan Ringan Murah 10 RIBU,5.000,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/-DELISH-SNACKS-Aneka-Snack-Serba-10.000-Bebas-Pilih-Cemilan-Camilan-Makanan-Ringan-Murah-10-RIBU-i.258417579.9808119403?sp_atk=4e77e48f-87e2-4e51-b125-d166b433ea1f&xptdk=4e77e48f-87e2-4e51-b125-d166b433ea1f,https://shopee.co.id/Makanan-Minuman-cat.11043451
kado ulang tahun cewek hampers wisuda anniversary pacar,157.999,"2,3RB Terjual",KOTA JAKARTA UTARA,https://shopee.co.id/kado-ulang-tahun-cewek-hampers-wisuda-anniversary-pacar-i.419384712.24353086916?sp_atk=87b5bd68-054f-46da-8337-d82d8b5f0bd3&xptdk=87b5bd68-054f-46da-8337-d82d8b5f0bd3,https://shopee.co.id/Makanan-Minuman-cat.11043451
Collins Choco Crunchy 1kg HALAL,36.999,10RB+ Terjual,KOTA JAKARTA TIMUR,https://shopee.co.id/Collins-Choco-Crunchy-1kg-HALAL-i.320367748.22642624383?sp_atk=56c1163a-6b1a-41ad-ae23-9a3ff00bba00&xptdk=56c1163a-6b1a-41ad-ae23-9a3ff00bba00,https://shopee.co.id/Makanan-Minuman-cat.11043451
1 kardus sabena snack isi 5 kantong bisa MIX rasa ( COD ),62.000,"2,7RB Terjual",KOTA TANGERANG,https://shopee.co.id/1-kardus-sabena-snack-isi-5-kantong-bisa-MIX-rasa-(-COD-)-i.39667582.20994588532?sp_atk=2ef73c70-6e59-454a-8400-06bea15a4b79&xptdk=2ef73c70-6e59-454a-8400-06bea15a4b79,https://shopee.co.id/Makanan-Minuman-cat.11043451
Muesli Fruit and Seed 1 Kg Sereal Sehat Authentic Safiya Food,54.500,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Muesli-Fruit-and-Seed-1-Kg-Sereal-Sehat-Authentic-Safiya-Food-i.299419124.16364425162?sp_atk=451f4d0d-df4c-42e4-88d6-4e235d7f175d&xptdk=451f4d0d-df4c-42e4-88d6-4e235d7f175d,https://shopee.co.id/Makanan-Minuman-cat.11043451
ANEKA Wulama Gluten Spicy Tofu Latiao Cemilan Snack Vegetarian,13.980,10RB+ Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/ANEKA-Wulama-Gluten-Spicy-Tofu-Latiao-Cemilan-Snack-Vegetarian-i.994382543.14198890656?sp_atk=a9e0ce3d-cd10-4130-a530-e3f66c724aa1&xptdk=a9e0ce3d-cd10-4130-a530-e3f66c724aa1,https://shopee.co.id/Makanan-Minuman-cat.11043451
INDOCAFE COFFEMIX 3IN1 20GR RENCENG (ISI 10),13.885,10RB+ Terjual,KOTA JAKARTA UTARA,https://shopee.co.id/INDOCAFE-COFFEMIX-3IN1-20GR-RENCENG-(ISI-10)-i.256364012.8102376850?sp_atk=e8a1e904-edd6-429e-b2ec-ecff4718b094&xptdk=e8a1e904-edd6-429e-b2ec-ecff4718b094,https://shopee.co.id/Makanan-Minuman-cat.11043451
